Document,Phrase,CardVal,RefinedWord,RefinedVal,ManRefWord,ManRefVal
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,mainly,0.28163683,of,0.6151813,deposits,0.44905117
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,due,0.3318616,of,0.5734476,anomaly,0.41796127
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,justify,0.23711805,of,0.36755955,congenital-heart-disease,0.31894612
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,clinical,0.40667677,of,0.48020738,cardiology,0.40667677
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hospital,0.5604328,cardiology,0.5604328,cardiology,0.5604328
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,setting,0.5175974,failure,0.54691184,cardiology,0.5175974
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hospital-setting,0.4837858,venous-return,0.51661444,venous-return,0.51661444
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,heart,0.57664216,heart,1.0,heart,1.0
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rate,0.33912572,heart,0.49867767,heart,0.49867767
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,heart-rate,0.43613237,heartbeat,0.713904,heartbeat,0.713904
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,heart,0.57664216,heart,1.0,heart,1.0
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,failure,0.42322472,failure,0.99999994,heart-failure,0.7363615
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,heart-failure,0.5023692,heart-failure,1.0,heart-failure,1.0
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,generally,0.29403654,with,0.608389,deposits,0.39144385
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,better,0.32639185,with,0.56204724,single-ventricle,0.3852502
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,economic,0.29339665,great,0.4144292,single-ventricle,0.33241546
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,value,0.3260533,of,0.52001536,flow,0.37269968
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,duplicated,0.21653174,l-transposition,0.56444937,l-transposition,0.56444937
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,citations,0.40793592,total,0.42257315,cardiology,0.40793592
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,composite,0.22068933,failure,0.39251378,hypoplastic-left-heart,0.38025624
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,endpoints,0.28787833,failure,0.4535117,heart-failure,0.3982118
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,certain,0.2610966,of,0.63117075,l-transposition,0.42081705
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,therapies,0.36136723,failure,0.47599852,heart-failure,0.42514777
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cause,0.24258707,congenital,0.5065234,congenital,0.5065234
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,mortality,0.3475203,chd,0.5562636,chd,0.5562636
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cause-mortality,0.32417238,heart-disease,0.5488442,heart-disease,0.5488442
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,validation,0.3290826,of,0.43553495,heart-failure,0.3812675
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,probast,0.276626,with,0.4104613,mi,0.39556238
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,discriminatory,0.20530923,of,0.40653515,heart-failure,0.32456607
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ability,0.2123124,of,0.53612673,cardiac,0.340167
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,deemed,0.40265262,as,0.505542,cardiology,0.40265262
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,relevant,0.3264072,of,0.5628227,anomalous,0.34380507
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,conducted,0.33747825,of,0.5328569,congenital-heart-disease,0.34614092
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.38390464,heart-failure,0.63991886,heart-failure,0.63991886
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,including,0.2742056,of,0.6619886,congenital,0.3605199
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rob,0.20263225,dorv,0.3384785,dorv,0.3384785
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identified,0.21709195,isolated,0.60550874,anomaly,0.33388633
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,bias,0.21969397,weak,0.34950268,lai,0.32676864
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,relevant,0.3264072,of,0.5628227,anomalous,0.34380507
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,probast,0.276626,with,0.4104613,mi,0.39556238
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ability,0.2123124,of,0.53612673,cardiac,0.340167
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,yet,0.32307938,as,0.52449846,cardiac,0.34347042
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,within,0.30995527,of,0.57602364,deposits,0.42065546
