Document,Phrase,MLVal,RefinedWord,RefinedVal,ManRefWord,ManRefVal
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,variables,0.4636312,logistic-regression,0.6604836,logistic-regression,0.6604836
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction,0.64593977,classification-algorithm,0.71407217,classification-algorithm,0.71407217
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,distinct,0.36295342,feature,0.580647,clustering,0.5409523
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predictor,0.43901688,regression,0.5961869,regression,0.5961869
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,variables,0.4636312,logistic-regression,0.6604836,logistic-regression,0.6604836
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predictor-variables,0.5922495,logistic-regression,0.7615812,logistic-regression,0.7615812
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,characteristics,0.345204,of,0.5401758,feature-engineering,0.49030614
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,including,0.3233776,of,0.6619886,clustering,0.40625107
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,male,0.26790547,naive,0.47688544,generative,0.42885694
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,sex,0.24554862,regression,0.45148212,regression,0.45148212
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,characteristics-including,0.4578284,feature,0.62525475,feature-engineering,0.58091754
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,male-sex,0.13433254,descent,0.35201824,generative,0.33672026
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessed,0.33986524,of,0.605934,component-analysis,0.41855076
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.293398,long-short-term,0.35116297,long-short-term,0.35116297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hospitalizations,0.2612055,logistic-regression,0.4695824,logistic-regression,0.4695824
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf-hospitalizations,0.32690173,short-term,0.49902228,logistic-regression,0.47951394
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular,0.31674606,short-term,0.442761,learning-function,0.4027721
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,death,0.21479979,of,0.42234862,dropout,0.37818787
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular-death,0.3670898,learning-function,0.44179285,learning-function,0.44179285
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction,0.64593977,classification-algorithm,0.71407217,classification-algorithm,0.71407217
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction-models,0.719873,machine-learning,0.719873,machine-learning,0.719873
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction-models,0.7157521,classification-algorithm,0.73765415,classification-algorithm,0.73765415
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify,0.46963936,analysis,0.5445881,clustering,0.4863696
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,common,0.32574984,feature,0.5597373,clustering,0.43115532
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,variables,0.4636312,logistic-regression,0.6604836,logistic-regression,0.6604836
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify,0.46963936,analysis,0.5445881,clustering,0.4863696
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.293398,long-short-term,0.35116297,long-short-term,0.35116297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf-risk,0.3265609,logistic-regression,0.5065303,logistic-regression,0.5065303
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,terminal,0.1515508,long,0.5815784,generative,0.39005107
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prohormone,0.2787227,processing,0.47166103,graphics-processing,0.3765043
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,brain,0.31704307,neural,0.57897407,learning-rate,0.44069666
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systolic,0.25626805,function,0.41296047,gradient,0.40985143
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood,0.16939776,normalization,0.4272251,batch-normalization,0.40715772
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,pressure,0.2060274,gradient,0.4962673,gradient,0.4962673
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systolic-blood,0.24753866,batch-normalization,0.4520945,batch-normalization,0.4520945
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood-pressure,0.2672683,batch-normalization,0.4510358,batch-normalization,0.4510358
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systolic-blood-pressure,0.2801193,batch-normalization,0.46667916,batch-normalization,0.46667916
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,patients,0.30007,recurrent,0.5332828,dropout,0.3918751
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,might,0.3331341,of,0.5952132,long-short-term,0.42997545
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,benefit,0.39640212,short-term,0.5466547,long-short-term,0.48296973
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,patients-might,0.3612241,recurrent,0.50128734,dropout,0.4666061
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,machine,0.7094662,machine,1.0,machine-learning,0.7094662
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,learning,0.709237,learning,1.0,deep-learning,0.8286492
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,tools,0.65752256,data-engineering,0.6720511,data-engineering,0.6720511
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,machine-learning,1.0,machine-learning,1.0,machine-learning,1.0
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,handling,0.40444896,processing,0.5399337,batch-normalization,0.5022036
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,missing,0.40578157,hidden,0.5782455,overfitting,0.5296333
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,data,0.46434748,data,1.0,data-science,0.5533528
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,missing-data,0.622204,overfitting,0.6792558,overfitting,0.6792558
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood,0.16939776,normalization,0.4272251,batch-normalization,0.40715772
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,urea,0.2245125,batch-normalization,0.3623508,batch-normalization,0.3623508
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,nitrogen,0.25959074,forest,0.46643505,feature-reduction,0.3711414
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood-urea,0.2559372,batch-normalization,0.44665098,batch-normalization,0.44665098
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,urea-nitrogen,0.2386516,batch,0.45680302,batch-normalization,0.39665717
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood-urea-nitrogen,0.2849993,batch-normalization,0.49116284,batch-normalization,0.49116284
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identified,0.35725033,analysis,0.56593037,clustering,0.45719695
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systematic,0.48676366,statistical,0.54231316,statistical,0.54231316
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,literature,0.42831737,data,0.58552843,data-science,0.5381381
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,review,0.41215214,data,0.5581161,data-science,0.47600204
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systematic-literature,0.5408546,natural-language,0.61705226,natural-language,0.61705226
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,literature-review,0.47830695,data,0.57625806,natural-language,0.56798154
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systematic-literature-review,0.5314252,natural-language,0.6156083,natural-language,0.6156083
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assess,0.36162603,of,0.49566716,decision-tree,0.39463407
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,statistical,0.6074636,statistical,1.0,statistical,1.0
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,approach,0.5412675,segmentation-algorithm,0.6046611,segmentation-algorithm,0.6046611
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,publications,0.42699853,data-science,0.65373355,data-science,0.65373355
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,reported,0.27641866,of,0.6039252,long-short-term,0.38086164
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,detail,0.38293496,fully,0.5417851,feature-engineering,0.502215
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,overall,0.37212962,rate,0.62994075,dropout,0.45315623
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,low,0.23602332,of,0.5820825,long-short-term,0.45172954
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rob,0.24440461,relu,0.32457215,relu,0.32457215
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,overall-low,0.2904926,rate,0.49496448,long-short-term,0.44974095
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,bias,0.3643996,overfitting,0.54791117,overfitting,0.54791117
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessment,0.4002061,analysis,0.5275976,component-analysis,0.49803802
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,tool,0.58027077,machine-learning,0.58027077,machine-learning,0.58027077
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,bias-assessment,0.5288885,classification-algorithm,0.601976,classification-algorithm,0.601976
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessment-tool,0.5553417,data-science,0.6099194,data-science,0.6099194
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction-models,0.719873,machine-learning,0.719873,machine-learning,0.719873
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assess,0.36162603,of,0.49566716,decision-tree,0.39463407
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular,0.31674606,short-term,0.442761,learning-function,0.4027721
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,death,0.21479979,of,0.42234862,dropout,0.37818787
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular-death,0.3670898,learning-function,0.44179285,learning-function,0.44179285
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,publications,0.42699853,data-science,0.65373355,data-science,0.65373355
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.293398,long-short-term,0.35116297,long-short-term,0.35116297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,outcomes,0.38239923,short-term,0.6164659,long-short-term,0.5239928
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessed,0.33986524,of,0.605934,component-analysis,0.41855076
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ranked,0.47250757,classifiers,0.5532665,classifiers,0.5532665
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,according,0.3602386,classification,0.6492659,classification,0.6492659
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,publications,0.42699853,data-science,0.65373355,data-science,0.65373355
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,non,0.2869836,of,0.5523051,generative,0.4181043
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,may,0.30907542,of,0.58654004,long-short-term,0.43985203
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,march,0.25898194,science,0.47958314,data-science,0.40582275
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.293398,long-short-term,0.35116297,long-short-term,0.35116297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hospitalization,0.23343414,confusion,0.51795703,logistic-regression,0.47011706
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf-hospitalization,0.3093966,short-term,0.50356686,logistic-regression,0.47130394
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rob,0.24440461,relu,0.32457215,relu,0.32457215
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessment,0.4002061,analysis,0.5275976,component-analysis,0.49803802
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,literature,0.42831737,data,0.58552843,data-science,0.5381381
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,databases,0.5307106,data-science,0.6526401,data-science,0.6526401
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rob,0.24440461,relu,0.32457215,relu,0.32457215
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,registration,0.36279953,segmentation,0.4889227,segmentation,0.4889227
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,number,0.2996383,few,0.57847273,clustering,0.4387715
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,registration-number,0.48800468,segmentation-algorithm,0.57006085,segmentation-algorithm,0.57006085
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,primary,0.24268678,principal,0.5205563,long-short-term,0.38049072
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,outcomes,0.38239923,short-term,0.6164659,long-short-term,0.5239928
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predictors,0.46376368,logistic,0.67381907,logistic-regression,0.66900885
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,included,0.34673893,of,0.58040446,component-analysis,0.47413814
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,potential,0.3558654,of,0.5645705,generative-model,0.46479023
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,utility,0.4781499,discriminative,0.54359984,feature-engineering,0.50812626
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,nyha,0.29739815,classification,0.3432895,classification,0.3432895
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,class,0.353845,multi-class,0.5162764,classification,0.4708274
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,nyha-class,0.3579088,classification,0.4558469,classification,0.4558469
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,novel,0.4652171,feature-engineering,0.5132146,feature-engineering,0.5132146
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,approaches,0.55614823,feature-engineering,0.60571706,feature-engineering,0.60571706
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,natriuretic,0.26007023,function,0.33372766,learning-function,0.3213495
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,peptide,0.3208105,encoding,0.44188768,boosting,0.35291767
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,natriuretic-peptide,0.31423682,batch-normalization,0.36770314,batch-normalization,0.36770314
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,mainly,0.24372631,of,0.6151813,clustering,0.43261412
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,due,0.21681537,of,0.5734476,confusion-matrix,0.40250766
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,justify,0.34884375,support,0.51228774,decision-tree,0.4434775
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,clinical,0.44080526,data,0.48532635,data-science,0.45343333
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hospital,0.2768838,unit,0.588941,data-science,0.39080185
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,setting,0.34333664,decision,0.51606584,supervised,0.4146531
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hospital-setting,0.38185513,decision-tree,0.5036858,decision-tree,0.5036858
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,heart,0.28300244,rate,0.49867767,batch-normalization,0.3427502
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rate,0.24866687,rate,1.0,dropout,0.44953537
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,heart-rate,0.4407577,learning-rate,0.54865026,learning-rate,0.54865026
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,heart,0.28300244,rate,0.49867767,batch-normalization,0.3427502
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,failure,0.32964212,recurrent,0.52057266,confusion-matrix,0.44323406
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,heart-failure,0.36450487,long-short-term,0.44014218,long-short-term,0.44014218
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,generally,0.31490302,few,0.62595755,long-short-term,0.51732695
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,better,0.4230538,of,0.5337099,feature-reduction,0.47485045
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,economic,0.3636144,decision-tree,0.5450494,decision-tree,0.5450494
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,value,0.3544725,of,0.52001536,statistical,0.45314136
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,duplicated,0.25495446,encoding,0.5094908,segmentation,0.42386281
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,citations,0.4351179,data-science,0.63035893,data-science,0.63035893
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,composite,0.3212868,hierarchical,0.520792,hierarchical-clustering,0.4888802
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,endpoints,0.30993629,short-term,0.5226814,logistic-regression,0.44424108
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,certain,0.33025417,of,0.63117075,generative,0.50536466
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,therapies,0.3593281,engineering,0.4572313,data-engineering,0.44749197
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cause,0.19388393,of,0.47843847,confusion-matrix,0.34079778
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,mortality,0.2609817,short-term,0.505676,logistic-regression,0.49414968
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cause-mortality,0.3407904,logistic-regression,0.5863885,logistic-regression,0.5863885
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,validation,0.5362086,cross-validation,0.74016297,cross-validation,0.74016297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,probast,0.3131503,of,0.40734065,recurrent-neural-network,0.36209145
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,discriminatory,0.49986887,discriminative,0.7926174,classifiers,0.5809241
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ability,0.39144984,function,0.5937173,generative,0.47758824
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,deemed,0.33895594,decision,0.5426328,supervised,0.46045095
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,relevant,0.4346258,of,0.5628227,natural-language,0.5076148
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,conducted,0.39637828,data,0.556862,statistical,0.4670034
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.293398,long-short-term,0.35116297,long-short-term,0.35116297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,including,0.3233776,of,0.6619886,clustering,0.40625107
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rob,0.24440461,relu,0.32457215,relu,0.32457215
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identified,0.35725033,analysis,0.56593037,clustering,0.45719695
