Index,Title
44,Phase 1 study to evaluate the effect of the MEK inhibitor trametinib on cardiac repolarization in patients with solid tumours.
45,Transforming growth factor-beta function blocking prevents myocardial fibrosis and diastolic dysfunction in pressure-overloaded rats.
46,Antibody to granulocyte macrophage colony-stimulating factor reduces the number of activated tissue macrophages and improves left ventricular function after myocardial infarction in a rat coronary artery ligation model.
47,Adaptive-outward and maladaptive-inward arterial remodeling measured by intravascular ultrasound in hyperhomocysteinemia and diabetes.
48,"Cardiac myocyte exosomes: stability, HSP60, and proteomics."
49,Water extract of Cinnamomum cassia suppresses angiogenesis through inhibition of VEGF receptor 2 phosphorylation.
50,Differential neuroprotection by cyclosporin A and FK506 following ischemia corresponds with differing abilities to inhibit calcineurin and the mitochondrial permeability transition.
51,[Rational pharmacotherapy of patients with coronory heart disease combined with anxiety disorders].
52,Effect of fatty acids on endothelium-dependent relaxation in the rabbit aorta.
53,Eculizumab treatment in severe pediatric STEC-HUS: a multicenter retrospective study.
54,Novel role of platelet reactivity in adverse left ventricular remodelling after ST-segment elevation myocardial infarction: The REMODELING Trial.
55,Vena cava and aortic smooth muscle cells express transglutaminases 1 and 4 in addition to transglutaminase 2.
56,Voltage-Induced Ca²⁺ Release in Postganglionic Sympathetic Neurons in Adult Mice.
57,Adenoviral-mediated expression of antisense RNA to basic fibroblast growth factor reduces tangential stress in arterialized vein grafts.
58,Endothelium-dependent relaxation of rat mesenteric arterial rings by a Phoneutria nigriventer venom fraction.
59,Early P2Y12 Inhibitors Escalation in Primary PCI Patients: Insights from the RENOVAMI Registry.
60,Comorbidity in gout at the time of first diagnosis: sex differences that may have implications for dosing of urate lowering therapy.
61,NOX4 mediates hypoxia-induced proliferation of human pulmonary artery smooth muscle cells: the role of autocrine production of transforming growth factor-{beta}1 and insulin-like growth factor binding protein-3.
62,Rapid-deployment aortic valve replacement versus standard bioprosthesis implantation.
63,The association of C-reactive protein with subclinical cardiovascular disease in HIV-infected and HIV-uninfected women.
64,Impact of elevated uric acid on ventricular remodeling in infarcted rats with experimental hyperuricemia.
65,Pharmacologic inhibition of small-conductance calcium-activated potassium (SK) channels by NS8593 reveals atrial antiarrhythmic potential in horses.
66,Hypotensive effect of Aspidosperma subincanum Mart. in rats and its mechanism of vasorelaxation in isolated arteries.
67,Detecting atrial fibrillation by deep convolutional neural networks.
68,Differential and conditional activation of PKC-isoforms dictates cardiac adaptation during physiological to pathological hypertrophy.
69,Efficacy of heparin-coated stent in early setting of acute myocardial infarction.
70,Alterations of voltage-dependent K(+) channels in the mesenteric artery during the early and chronic phases of diabetes.
71,Expression of mutant p193 and p53 permits cardiomyocyte cell cycle reentry after myocardial infarction in transgenic mice.
72,AMP-activated protein kinase phosphorylates cardiac troponin I and alters contractility of murine ventricular myocytes.
73,Effectiveness and safety of glycoprotein IIb/IIIa inhibitors and clopidogrel alone and in combination in non-ST-segment elevation myocardial infarction (from the National Registry of Myocardial Infarction-4).
74,"Nutritional Supplement-5 with a Combination of Proteasome Inhibitors (Resveratrol, Quercetin, &lt;i&gt;δ&lt;/i&gt;-Tocotrienol) Modulate Age-Associated Biomarkers and Cardiovascular Lipid Parameters in Human Subjects."
75,Efficacy of the non-peptide CGRP receptor antagonist BIBN4096BS in blocking CGRP-induced dilations in human and bovine cerebral arteries: potential implications in acute migraine treatment.
76,"Effect of sarpogrelate, a selective 5-HT&lt;sub&gt;2A&lt;/sub&gt; receptor antagonist, on characteristics of coronary artery disease in patients with type 2 diabetes."
77,"Increased benefit of interleukin-1 inhibition on vascular function, myocardial deformation, and twisting in patients with coronary artery disease and coexisting rheumatoid arthritis."
78,Use of nebivolol for the treatment of endothelial dysfunction in patients with hypertension: the EDEN registry.
79,Transient receptor potential melastatin 4 inhibitor 9-phenanthrol abolishes arrhythmias induced by hypoxia and re-oxygenation in mouse ventricle.
80,Effects of analogue insulin in multiple daily injection therapy of type 2 diabetes on postprandial glucose control and cardiac function compared to human insulin: a randomized controlled long-term study.
81,The contribution of thrombin-induced platelet activation to thrombus growth is diminished under pathological blood shear conditions.
82,"Electrocardiogram analysis using a combination of statistical, geometric, and nonlinear heart rate variability features."
83,The Direct Factor Xa Inhibitor Rivaroxaban Passes Into Human Breast Milk.
84,Sex-dependent variables in the modulation of postalimentary lipemia.
85,Accelerated whole-heart 3D CSPAMM for myocardial motion quantification.
86,Myocardial T1 Measurement Predicts Beneficial LV Remodeling After Long-Term Heart Failure Therapy.
87,Effects of exercise training on heart rate variability after coronary angioplasty.
88,Airway pressure release ventilation reduces the increase in bronchoalveolar lavage fluid high-mobility group box-1 levels and lung water in experimental acute respiratory distress syndrome induced by lung lavage.
89,A Small-Molecule Anti-secretagogue of PCSK9 Targets the 80S Ribosome to Inhibit PCSK9 Protein Translation.
90,The role of recipient mast cells in acute and chronic cardiac allograft rejection in C57BL/6-KitW-sh/W-sh mice.
91,"Effects of the cholesteryl ester transfer protein inhibitor, TA-8995, on cholesterol efflux capacity and high-density lipoprotein particle subclasses."
92,The β-chain of cell surface F(0)F(1) ATPase modulates apoA-I and HDL transcytosis through aortic endothelial cells.
93,Bicuspid Aortic Insufficiency With Aortic Root Aneurysm: Root Reimplantation Versus Bentall Root Replacement.
94,Relaxin mediates uterine artery compliance during pregnancy and increases uterine blood flow.
95,Biomarker-Guided Versus Guideline-Based Treatment of Patients With Heart Failure: Results From BIOSTAT-CHF.
96,"Clinical trials update from the European Society of Cardiology: CHARM, BASEL, EUROPA and ESTEEM."
97,"3,3'-Diindolylmethane attenuates cardiac H9c2 cell hypertrophy through 5'-adenosine monophosphate-activated protein kinase-α."
98,An event-driven distributed processing architecture for image-guided cardiac ablation therapy.
99,Relationship between downregulation of miRNAs and increase of oxidative stress in the development of diabetic cardiac dysfunction: junctin as a target protein of miR-1.
100,"Intracranial hemorrhage among patients with atrial fibrillation anticoagulated with warfarin or rivaroxaban: the rivaroxaban once daily, oral, direct factor Xa inhibition compared with vitamin K antagonism for prevention of stroke and embolism trial in atrial fibrillation."
101,NADPH Oxidase Hyperactivity Contributes to Cardiac Dysfunction and Apoptosis in Rats with Severe Experimental Pancreatitis through ROS-Mediated MAPK Signaling Pathway.
102,Gut intraepithelial T cells calibrate metabolism and accelerate cardiovascular disease.
103,"Differential effects of myosin light chain kinase inhibition on contractility, force development and myosin light chain 20 phosphorylation of rat cervical and thoracic duct lymphatics."
104,Triple vasopeptidase inhibition of angiotensin-converting enzyme/neutral endopeptidase/endothelin-converting enzyme activities on the hemodynamic profile of chronically instrumented unrestrained conscious spontaneously hypertensive rats.
105,Strain differences in alveolar neutrophil infiltration and macrophage phenotypes in an acute lung inflammation model.
106,Inhibitory Effect of Interferons on Contractive Activity of Bovine Mesenteric Lymphatic Vessels and Nodes.
107,Pressure overload induces greater hypertrophy and mortality in female mice with p38alpha MAPK inhibition.
108,Antiremodeling effects of iloprost and the dual-selective phosphodiesterase 3/4 inhibitor tolafentrine in chronic experimental pulmonary hypertension.
109,Remote postconditioning induced by brief pulmonary ischemia and reperfusion attenuates myocardial reperfusion injury in rabbits.
110,Acute myocarditis mimicking lateral myocardial infarction.
111,Role of asymmetric dimethylarginine in vascular injury in transgenic mice overexpressing dimethylarginie dimethylaminohydrolase 2.
112,The role of Parkin protein in cardiac function and ventricular remodeling in myocardial infarction rats.
113,"Abuse, nocturnal stress hormones, and coronary heart disease risk among women with HIV."
114,Involvement of Hydrogen Sulfide in Endothelium-Derived Relaxing Factor-Mediated Responses in Rat Cerebral Arteries.
115,New ischemic stroke and outcomes with vorapaxar versus placebo: results from the TRA 2 °P-TIMI 50 trial.
116,[Decrease of nitric oxide (NO)-cGMP-dependent vasodilatation in the vessels of lesser circulation in endothelial dysfunction].
117,"2,3,4',5-Tetrahydroxystilbene-2-O-β-D-glucoside inhibits angiotensin II-induced cardiac fibroblast proliferation via suppression of the reactive oxygen species-extracellular signal-regulated kinase 1/2 pathway."
118,Traffic-related air pollution is associated with cardio-metabolic biomarkers in general residents.
119,Is there a role of inducible nitric oxide synthase activation in the delayed antiarrhythmic effect of sodium nitrite?
120,"TSH-controlled L-thyroxine therapy reduces cholesterol levels and clinical symptoms in subclinical hypothyroidism: a double blind, placebo-controlled trial (Basel Thyroid Study)."
121,Inhibition of p53 after acute myocardial infarction: reduction of apoptosis is counteracted by disturbed scar formation and cardiac rupture.
122,Prediction of three lipid derivatives for postoperative gastric cancer mortality: the Fujian prospective investigation of cancer (FIESTA) study.
123,Rational design of small molecules targeting the C2 domain of coagulation factor VIII.
124,Apelin protects against sepsis‑induced cardiomyopathy by inhibiting the TLR4 and NLRP3 signaling pathways.
125,Clinical application of C-reactive protein across the spectrum of acute coronary syndromes.
126,Transient Receptor Potential Ankyrin 1 Channel Involved in Atherosclerosis and Macrophage-Foam Cell Formation.
127,"Associations of MMP-2, BAX, and Bcl-2 mRNA and Protein Expressions with Development of Atrial Fibrillation."
128,Serum homocysteine concentrations in children with growth hormone (GH) deficiency before and after 12 months GH replacement.
129,The effects of short-term omission of daily medication on the pathophysiology of heart failure.
130,55th Bowditch Lecture: Effects of chronic hypoxia on the pulmonary circulation: role of HIF-1.
131,"[Myocardial infarction with ""angiographycally normal coronary arteries"" myth or reality?]."
132,Accurate Congenital Heart Disease Model Generation for 3D Printing
133,Detection of clopidogrel hyporesponsiveness using a point-of-care assay and the impact of additional cilostazol administration after coronary stent implantation in diabetic patients.
134,"Thromboembolic Events After Vitamin K Antagonist Reversal With 4-Factor Prothrombin Complex Concentrate: Exploratory Analyses of Two Randomized, Plasma-Controlled Studies."
135,Lycopene inhibits TNF-alpha-induced endothelial ICAM-1 expression and monocyte-endothelial adhesion.
136,Endothelin-1 stimulates small artery VCAM-1 expression through p38MAPK-dependent neutral sphingomyelinase.
137,Mortality trends in women and men presenting with acute coronary syndrome: insights from a 20-year registry.
138,"Effect of endothelin antagonism on contractility, intracellular calcium regulation and calcium regulatory protein expression in right ventricular hypertrophy of the rat."
139,Complement inhibition decreases the procoagulant response and confers organ protection in a baboon model of Escherichia coli sepsis.
140,Effect of CD4+ cell count and viral suppression on risk of ischemic stroke in HIV infection.
141,Age-related differences in the effects of α and γ peroxisome proliferator-activated receptor subtype agonists on endothelial vasodilation in human microvessels.
142,Is long-axis view superior to short-axis view in ultrasound-guided central venous catheterization?
143,Pyrrolidine dithiocarbamate down-regulates vascular matrix metalloproteinases and ameliorates vascular dysfunction and remodelling in renovascular hypertension.
144,[Effect of long term therapy with spironolactone on parameters of 24-hour heart rhythm variability and ventricular arrhythmias in patients with heart failure receiving optimal therapy].
145,Proper development of the outer longitudinal smooth muscle of the mouse pylorus requires Nkx2-5 and Gata3.
146,Characterization of dopamine-mediated relaxation in experimental vein bypass grafts.
147,Autonomic activation links CNS oxygen toxicity to acute cardiogenic pulmonary injury.
148,Effect of farnesyltransferase inhibition on cardiac remodeling in spontaneously hypertensive rats.
149,Facilitated percutaneous coronary intervention versus primary percutaneous coronary intervention: design and rationale of the Facilitated Intervention with Enhanced Reperfusion Speed to Stop Events (FINESSE) trial.
150,Gastroesophageal reflux disease prevalence in the city of Sivas.
151,Hyperglycaemia promotes human brain microvascular endothelial cell apoptosis via induction of protein kinase C-ßI and prooxidant enzyme NADPH oxidase.
152,"Experimental Study of the Effects of EIPA, Losartan, and BQ-123 on Electrophysiological Changes Induced by Myocardial Stretch."
153,High Blood Pressure and Related Factors Among Individuals at High Risk for HIV/Sexually Transmitted Infections.
154,Association of increased CD8+ and persisting C-reactive protein levels with restenosis in HIV patients after coronary stenting.
155,On-pump inhibition of es-ENT1 nucleoside transporter and adenosine deaminase during aortic crossclamping entraps intracellular adenosine and protects against reperfusion injury: role of adenosine A1 receptor.
156,Deep neural heart rate variability analysis
157,Risk Factors for Late Aortic Valve Dysfunction After the David V Valve-Sparing Root Replacement.
158,Effects of anti-TNF-alpha treatment on lipid profile in patients with active rheumatoid arthritis.
159,Pharmacological inhibition of soluble epoxide hydrolase ameliorates diet-induced metabolic syndrome in rats.
160,Role of the serine-rich surface glycoprotein GspB of Streptococcus gordonii in the pathogenesis of infective endocarditis.
161,MiR-195-5p Promotes Cardiomyocyte Hypertrophy by Targeting MFN2 and FBXW7.
162,Vascular effects and safety of dalcetrapib in patients with or at risk of coronary heart disease: the dal-VESSEL randomized clinical trial.
163,Selective endothelin-A receptor blockade attenuates endotoxin-induced pulmonary hypertension and pulmonary vascular dysfunction.
164,The p38 mitogen-activated protein kinase pathway plays a critical role in thrombin-induced endothelial chemokine production and leukocyte recruitment.
165,Cladribine inhibits a diltiazem-induced increase in red blood cell purine nucleotide concentrations in a zebrafish model.
166,Early results of a novel technique for ring-reinforced aortic valve and root restoration.
167,Effect of a novel thromboxane A2 inhibitor on right ventricular-arterial coupling in endotoxic shock.
168,Inhibition of cardiac myocyte contraction by 4-hydroxy-trans-2-nonenal.
169,Development and Validation of Apolipoprotein AI-Associated Lipoprotein Proteome Panel for the Prediction of Cholesterol Efflux Capacity and Coronary Artery Disease.
170,Use of platelet glycoprotein IIb/IIIa inhibitors and spontaneous pulmonary hemorrhage.
171,Inhibition of type 2A secretory phospholipase A2 reduces death of cardiomyocytes in acute myocardial infarction.
172,Retinal transfer of nicotinate by H+ -monocarboxylate transporter at the inner blood-retinal barrier.
173,The predictive ability of bleeding risk stratification models in very old patients on vitamin K antagonist treatment for venous thromboembolism: results of the prospective collaborative EPICA study.
174,Microcirculatory effects of angiotensin II inhibitors in patients with severe heart failure.
175,Changes in Cardiovascular Disease Risk Factors With Immediate Versus Deferred Antiretroviral Therapy Initiation Among HIV-Positive Participants in the START (Strategic Timing of Antiretroviral Treatment) Trial.
176,An activated renin-angiotensin system maintains normal blood pressure in aryl hydrocarbon receptor heterozygous mice but not in null mice.
177,Echolucency of the carotid artery intima-media complex and intima-media thickness have different cardiovascular risk factor relationships: the Women's Interagency HIV Study.
178,CXCR4 antagonist AMD3100 accelerates impaired wound healing in diabetic mice.
179,p53 functions in endothelial cells to prevent radiation-induced myocardial injury in mice.
180,"Selumetinib in women with recurrent low-grade serous carcinoma of the ovary or peritoneum: an open-label, single-arm, phase 2 study."
181,Endothelin-receptor antagonists in uremic cardiomyopathy.
182,Inhibition of lipoprotein-associated phospholipase A2 ameliorates inflammation and decreases atherosclerotic plaque formation in ApoE-deficient mice.
183,Inhibition of catecholamine-induced cardiac fibrosis by an aldosterone antagonist.
184,Antihypertensive drug therapy in Saskatchewan: patterns of use and determinants in hypertension.
185,Pathological analysis of the aortic valve after long-term left ventricular assist device support.
186,Effect of miR-21/TLR4/NF-κB pathway on myocardial apoptosis in rats with myocardial ischemia-reperfusion.
187,Interaction of Semecarpus anacardium L. with propranolol against isoproterenol induced myocardial damage in rats.
188,Influence of nitric oxide on neurogenic contraction and relaxation of the human gastroepiploic artery.
189,Outcomes of pseudo-severe aortic stenosis under conservative treatment.
190,Focus on focus: lack of coherence between systemic and microvascular indices of oedema formation.
191,Assessment of the Siksika chronic disease nephropathy-prevention clinic.
192,"Reversibility of platelet P2Y12 inhibition by platelet supplementation: ex vivo and in vitro comparisons of prasugrel, clopidogrel and ticagrelor."
193,Hydroxymethylglutaryl coenzyme A reductase inhibitor simvastatin prevents cardiac hypertrophy induced by pressure overload and inhibits p21ras activation.
194,The impact of pharmacist-initiated interventions in improving acute coronary syndrome secondary prevention pharmacotherapy prescribing upon discharge.
195,Predictors of short term mortality in heart failure - insights from the Euro Heart Failure survey.
196,Inhibition of protein kinase Cbeta protects against diabetes-induced impairment in arachidonic acid dilation of small coronary arteries.
197,Developing Optimized Treatment Plans for Patients with Dyslipidemia in the Era of Proprotein Convertase Subtilisin/Kexin Type 9 Inhibitor Therapeutics.
198,Salviaolate Protects Rat Brain from Ischemia-Reperfusion Injury through Inhibition of NADPH Oxidase.
199,Drug-induced long-QT syndrome associated with a subclinical SCN5A mutation.
200,Targeting the glucagon receptor improves cardiac function and enhances insulin sensitivity following a myocardial infarction.
201,Automated localization and quality control of the aorta in cine CMR can significantly accelerate processing of the UK Biobank population data.
202,Dilazep and fenofibric acid inhibit MCP-1 mRNA expression in glycoxidized LDL-stimulated human endothelial cells.
203,Ginsenosides block HIV protease inhibitor ritonavir-induced vascular dysfunction of porcine coronary arteries.
204,Pregnancy-induced modulation of calcium mobilization and down-regulation of Rho-kinase expression contribute to attenuated vasopressin-induced contraction of the rat aorta.
205,Down-regulation of V1a vasopressin receptors in the cerebellum after myocardial infarction.
206,"DA-8159, a potent cGMP phosphodiesterase inhibitor, attenuates monocrotaline-induced pulmonary hypertension in rats."
207,Local Application of Leptin Antagonist Attenuates Angiotensin II-Induced Ascending Aortic Aneurysm and Cardiac Remodeling.
208,Silencing heat shock protein 27 (HSP27) inhibits the proliferation and migration of vascular smooth muscle cells in vitro.
209,A right ventricular pressure waveform based pulse contour cardiac output algorithm in canines.
210,"The Paracrine Effect of Skeletal Myoblasts Is Cardioprotective Against Oxidative Stress and Involves EGFR-ErbB4 Signaling, Cystathionase, and the Unfolded Protein Response."
211,Toll-like receptor-4 is expressed by macrophages in murine and human lipid-rich atherosclerotic plaques and upregulated by oxidized LDL.
212,Inhibition of fast sodium current in rabbit ventricular myocytes by protein tyrosine kinase inhibitors.
213,Sex and regional differences in myocardial plasticity in aortic stenosis are revealed by 3D model machine learning.
214,Transition from argatroban to oral anticoagulation with phenprocoumon or acenocoumarol: effect on coagulation factor testing.
215,Potential impact of Panax ginseng against ethanol induced hyperlipidemia and cardiac damage in rats.
216,ST-segment elevation myocardial infarction in China from 2001 to 2011 (the China PEACE-Retrospective Acute Myocardial Infarction Study): a retrospective analysis of hospital data.
217,Associations of diet quality and blood serum lipoprotein levels in a population at high risk for diabetes: the Strong Heart Family Study.
218,Activation by Ca2+/calmodulin of an exogenous myosin light chain kinase in mouse arteries.
219,"Elevated non-esterified fatty acids impair nitric oxide independent vasodilation, in humans: evidence for a role of inwardly rectifying potassium channels."
220,Effect of endogenous catecholamine on myocardial stunning in a simulated ischemia model.
221,Intravascular Ultrasound in Carotid Web.
222,Captopril reverses the reduced vasodilator response to bradykinin in hypertensive pregnant rats.
223,Localization of connexin 43 gap junctions and hemichannels in tanycytes of adult mice.
224,Nitric oxide and glutamate in the dorsal facial area regulate common carotid blood flow in the cat.
225,Suppression of Tumorigenicity 2 in Heart Failure With Preserved Ejection Fraction.
226,Simvastatin inhibits growth factor expression and modulates profibrogenic markers in lung fibroblasts.
227,"Effect of alirocumab, a monoclonal antibody to PCSK9, on long-term cardiovascular outcomes following acute coronary syndromes: rationale and design of the ODYSSEY outcomes trial."
228,The effect of bioengineered acellular collagen patch on cardiac remodeling and ventricular function post myocardial infarction.
229,"Effective tranexamic acid concentration for 95% inhibition of tissue-type plasminogen activator induced hyperfibrinolysis in children with congenital heart disease: A prospective, controlled, in-vitro study."
230,Consequences of aortic insufficiency during long-term axial continuous-flow left ventricular assist device support.
231,Gender-specific reduction in contraction is associated with increased estrogen receptor expression in single vascular smooth muscle cells of female rat.
232,Inhibition of HSF2 SUMOylation via MEL18 upregulates IGF-IIR and leads to hypertension-induced cardiac hypertrophy.
233,Effects of tyrosine kinase inhibitors on rat isolated heart function and protein biomarkers indicative of toxicity.
234,Nitric oxide synthase inhibition does not affect the exercise-induced arterial hypoxemia in Thoroughbred horses.
235,A synthetic peptide from Trypanosoma cruzi mucin-like associated surface protein as candidate for a vaccine against Chagas disease.
236,Opening of Aortic Valve During Exercise Is Key to Preventing Development of Aortic Insufficiency During Ventricular Assist Device Treatment.
237,Identification and classification of acute cardiac rejection by intragraft transcriptional profiling.
238,Medicinal plants in Suriname: hypotensive effect of Gossypium barbadense.
239,Thrombin activation of proteinase-activated receptor 1 potentiates the myofilament Ca2+ sensitivity and induces vasoconstriction in porcine pulmonary arteries.
240,The thromboxane receptor antagonist S18886 but not aspirin inhibits atherogenesis in apo E-deficient mice: evidence that eicosanoids other than thromboxane contribute to atherosclerosis.
241,Cigarette smoke constituents cause endothelial nitric oxide synthase dysfunction and uncoupling due to depletion of tetrahydrobiopterin with degradation of GTP cyclohydrolase.
242,Silencing of cardiac mitochondrial NHE1 prevents mitochondrial permeability transition pore opening.
243,Assessment of the Quality of Chronic Anticoagulation Control With Time in Therapeutic Range in Atrial Fibrillation Patients Treated With Vitamin K Antagonists by Hemostasis Specialists: The TERRA Registry: Tiempo en rango en la República Argentina.
244,"Liposomal fasudil, a rho-kinase inhibitor, for prolonged pulmonary preferential vasodilation in pulmonary arterial hypertension."
245,Regulation of apoAI processing by procollagen C-proteinase enhancer-2 and bone morphogenetic protein-1.
246,Cardioprotective effects of low-dose combination therapy with a statin and an angiotensin receptor blocker in a rat myocardial infarction model.
247,Study on antiplatelet effect of a new thiophenopyridine platelets P2Y&lt;sub&gt;12&lt;/sub&gt; receptor antagonist DV-127.
248,"Binding site of a novel Kv1.5 blocker: a ""foot in the door"" against atrial fibrillation."
249,Activation of endothelial β-catenin signaling induces heart failure.
250,Induction of heme-oxygenase 1 inhibits endothelial cell activation by endotoxin and oxidant stress.
251,"Rubiarbonone C inhibits platelet-derived growth factor-induced proliferation and migration of vascular smooth muscle cells through the focal adhesion kinase, MAPK and STAT3 Tyr&lt;sup&gt;705&lt;/sup&gt; signalling pathways."
252,l-carnosine and verapamil inhibit hypoxia-induced expression of hypoxia inducible factor (HIF-1 alpha) in H9c2 cardiomyoblasts.
253,Overexpression of microRNA-1 impairs cardiac contractile function by damaging sarcomere assembly.
254,Increased aortic wall stress in aortic insufficiency: clinical data and computer model.
255,Salvianolate Blocks Apoptosis During Myocardial Infarction by Down Regulating miR-122-5p.
256,Nitroxyl: a vasodilator of human vessels that is not susceptible to tolerance.
257,"Systemic and topical drug administration in the pig ureter: effect of phosphodiesterase inhibitors alpha1, beta and beta2-adrenergic receptor agonists and antagonists on the frequency and amplitude of ureteral contractions."
258,[CORONARY ARTERY DISEASE AND HEART FAILURE: A GENOTYPE-BASED THERAPEUTIC APPROACH].
259,Carotid artery intima-media thickness and HIV infection: traditional risk factors overshadow impact of protease inhibitor exposure.
260,"Role of aldosterone in angiotensin II-induced cardiac and aortic inflammation, fibrosis, and hypertrophy."
261,Central blockade of nitric oxide synthesis reduces moxonidine-induced hypotension.
262,"Influence of age, gender, and race on the efficacy of adding ezetimibe to atorvastatin vs. atorvastatin up-titration in patients at moderately high or high risk for coronary heart disease."
263,Cannabinoid receptor antagonists SR141716 and SR144528 exhibit properties of partial agonists in experiments on isolated perfused rat heart.
264,Takayasu Arteritis in the pediatric population: a contemporary United States-based single center cohort.
265,"Clinical Characteristics, Procedural Factors, and Outcomes of Percutaneous Coronary Intervention in Patients With Mechanical and Bioprosthetic Heart Valves."
266,BMP Antagonist Gremlin 2 Limits Inflammation After Myocardial Infarction.
267,In-hospital switching between clopidogrel and prasugrel among patients with acute myocardial infarction treated with percutaneous coronary intervention: insights into contemporary practice from the national cardiovascular data registry.
268,Peptide-enhanced mRNA transfection in cultured mouse cardiac fibroblasts and direct reprogramming towards cardiomyocyte-like cells.
269,A new calpain inhibitor protects left ventricular dysfunction induced by mild ischemia-reperfusion in in situ rat hearts.
270,[Evidence Based Secondary Prevention of Ischemic Heart Disease. Topics: I. Advances and Evidence of Pharmacotherapy: 4. Omega-3 Polyunsaturated Fatty Acid Reduces the Risk of Cardiovascular Events in the Patients with Ischemic Heart Disease].
271,Right atrial myxoma with a large tumor embolus in the left pulmonary artery.
