Datetime, Search terms, Website, Result number, Total results requested, ID number, Title, Abstract, Downloaded?, FileNamePath
011620-200403,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,386,1000,31665258,Differential Epigenetic Factors in the Prediction of Cardiovascular Risk in Diabetic Patients.,"Hyperglycemia can strongly alter the epigenetic signatures in many types of human
vascular cells providing persistent perturbations of protein-protein interactions
both in micro- and macro domains. The establishment of these epigenetic changes
may precede cardiovascular (CV) complications and help us to predict vascular
lesions in diabetic patients. Importantly, these epigenetic marks may be
transmitted across several generations (transgenerational effect) and increase
the individual risk of disease. Aberrant DNA methylation and imbalance of histone
modifications, mainly acetylation and methylation of H3, represent key
determinants of vascular lesions and, thus, putative useful biomarkers for
prevention and diagnosis of CV risk in diabetics. Moreover, a differential
expression of some micro-RNAs (miRNAs), mainly miR-126, may be a useful
prognostic biomarker for atherosclerosis development in asymptomatic subjects.
Recently, also environmental-induced chemical perturbations in mRNA
(epitranscriptome), mainly the N6-methyladenosine, have been associated with
obesity and diabetes. Importantly, reversal of epigenetic changes by modulation
of lifestyle and use of metformin, statins, fenofibrate and apabetalone may offer
useful therapeutic options to prevent or delay CV events in diabetics increasing 
the opportunity for personalized therapy. Network medicine is a promising
molecular-bioinformatic approach to identify the signaling pathways underlying
the pathogenesis of CV lesions in diabetic patients. Moreover, machine learning
tools combined with tomography are advancing the individualized assessment of CV 
risk in these patients. We remark the need of combining epigenetics and advanced 
bioinformatic platforms to improve the prediction of vascular lesions in
diabetics increasing the opportunity for CV precision medicine.

© The Author(s) 2019. Published by Oxford University Press on behalf of the
European Society of Cardiology.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31665258.pdf
011620-200405,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,387,1000,31665091,Aromatase inhibitors and risk of cardiovascular events in breast cancer patients: a systematic review and meta-analysis.,"BACKGROUND: Cardiovascular events (CVEs) was considered as one of the primary
cause to reduce the quality of life in breast cancer patients with aromatase
inhibitors (AIs) treatment, which has not been sufficiently addressed. The aim of
this study was to assess the correlation between risk of CVEs and AIs in patients
with breast cancer.
METHODS: Included studies were obtained from the databases of Embase, Pubmed,
Cochrane Library, Clinical Trials.gov, and reference lists. The main outcome
measures were overall incidence, odds ratios (ORs), and 95% confidence intervals 
(CIs). Furthermore, the association and the risk differences among different
tumor types, AIs,ages,or treatment regimens were conducted. Fixed-effect or
random-effect models were applied in the statistical analyses according to the
heterogeneity. Our analysis was performed according to the Preferred Reporting
Items for Systematic Reviews and Meta-Analyses (PRISMA) statement.
RESULTS: Seventeen studies, which included 44,411 subjects, were included in our 
analyses. The overall incidence of CVEs in AIs group was 13.02% (95% CI:
8.15-20.17%) and almost all of the high-grade CVEs occurred in patients treated
with AIs. The pooled ORs of CVEs was 0.9940 (95% CI: 0.8545-1.1562). Under
sub-group analysis, the incidence of CVEs related to exemestane was higher than
that of controls (OR = 1.1564, 95% CI: 1.0656-1.2549), but no statistical
differences in risk of CVEs were found in other sub-group analysis. No evidence
of publication bias was found for incidence of CVEs in our meta-analysis by a
funnel plot.
CONCLUSIONS: These results suggest that patients with breast cancer treated with 
AIs do not have a significant risk of developing CVEs in comparison with the
controls, and exemestane might not be considered as the alternative AI to the
breast cancer patients from the perspective of CVEs. Further studies are
recommended to investigate this association and the risk differences among
different tumor types, AIs or treatment regimens.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31665091.pdf
011620-200406,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,388,1000,31664990,Atrial fibrillation classification based on convolutional neural networks.,"BACKGROUND: The global age-adjusted mortality rate related to atrial fibrillation
(AF) registered a rapid growth in the last four decades, i.e., from 0.8 to 1.6
and 0.9 to 1.7 per 100,000 for men and women during 1990-2010, respectively. In
this context, this study uses convolutional neural networks for classifying
(diagnosing) AF, employing electrocardiogram data in a general hospital.
METHODS: Data came from Anam Hospital in Seoul, Korea, with 20,000 unique
patients (10,000 normal sinus rhythm and 10,000 AF). 30 convolutional neural
networks were applied and compared for the diagnosis of the normal sinus rhythm
vs. AF condition: 6 Alex networks with 5 convolutional layers, 3 fully connected 
layers and the number of kernels changing from 3 to 256; and 24 residual networks
with the number of residuals blocks (or kernels) varying from 8 to 2 (or 64 to
2).
RESULTS: In terms of the accuracy, the best Alex network was one with 24 initial 
kernels (i.e., kernels in the first layer), 5,268,818 parameters and the training
time of 89 s (0.997), while the best residual network was one with 6 residual
blocks, 32 initial kernels, 248,418 parameters and the training time of 253 s
(0.999). In general, the performance of the residual network improved as the
number of its residual blocks (its depth) increased.
CONCLUSION: For AF diagnosis, the residual network might be a good model with
higher accuracy and fewer parameters than its Alex-network counterparts.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31664990.pdf
011620-200407,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,389,1000,31664509,Correlation of machine learning computed tomography-based fractional flow reserve with instantaneous wave free ratio to detect hemodynamically significant coronary stenosis.,"BACKGROUND: Fractional flow reserve based on coronary CT angiography (CT-FFR) is 
gaining importance for non-invasive hemodynamic assessment of coronary artery
disease (CAD). We evaluated the on-site CT-FFR with a machine learning algorithm 
(CT-FFRML) for the detection of hemodynamically significant coronary artery
stenosis in comparison to the invasive reference standard of instantaneous wave
free ratio (iFR®).
METHODS: This study evaluated patients with CAD who had a clinically indicated
coronary computed tomography angiography (cCTA) and underwent invasive coronary
angiography (ICA) with iFR®-measurements. Standard cCTA studies were acquired
with third-generation dual-source computed tomography and analyzed with on-site
prototype CT-FFRML software.
RESULTS: We enrolled 40 patients (73% males, mean age 67 ± 12 years) who had
iFR®-measurement and CT-FFRML calculation. The mean calculation time of CT-FFRML 
values was 11 ± 2 min. The CT-FFRML algorithm showed, on per-patient and
per-lesion level, respectively, a sensitivity of 92% (95% CI 64-99%) and 87% (95%
CI 59-98%), a specificity of 96% (95% CI 81-99%) and 95% (95% CI 84-99%), a
positive predictive value of 92% (95% CI 64-99%), and 87% (95% CI 59-98%), and a 
negative predictive value of 96% (95% CI 81-99%) and 95% (95% CI 84-99%). The
area under the receiver operating characteristic curve for CT-FFRML on per-lesion
level was 0.97 (95% CI 0.91-1.00). Per lesion, the Pearson's correlation between 
the CT-FFRML and iFR® showed a strong correlation of r = 0.82 (p < 0.0001; 95% CI
0.715-0.920).
CONCLUSION: On-site CT-FFRML correlated well with the invasive reference standard
of iFR® and allowed for the non-invasive detection of hemodynamically significant
coronary stenosis.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31664509.pdf
011620-200409,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,390,1000,31664080,dendPoint: a web resource for dendrimer pharmacokinetics investigation and prediction.,"Nanomedicine development currently suffers from a lack of efficient tools to
predict pharmacokinetic behavior without relying upon testing in large numbers of
animals, impacting success rates and development costs. This work presents
dendPoint, the first in silico model to predict the intravenous pharmacokinetics 
of dendrimers, a commonly explored drug vector, based on physicochemical
properties. We have manually curated the largest relational database of dendrimer
pharmacokinetic parameters and their structural/physicochemical properties. This 
was used to develop a machine learning-based model capable of accurately
predicting pharmacokinetic parameters, including half-life, clearance, volume of 
distribution and dose recovered in the liver and urine. dendPoint successfully
predicts dendrimer pharmacokinetic properties, achieving correlations of up to
r = 0.83 and Q2 up to 0.68. dendPoint is freely available as a user-friendly
web-service and database at http://biosig.unimelb.edu.au/dendpoint . This
platform is ultimately expected to be used to guide dendrimer construct design
and refinement prior to embarking on more time consuming and expensive in vivo
testing.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31664080.pdf
011620-200410,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,391,1000,31663066,Genomic Biomarkers to Predict Resistance to Hypomethylating Agents in Patients With Myelodysplastic Syndromes Using Artificial Intelligence.,"PURPOSE: We developed an unbiased framework to study the association of several
mutations in predicting resistance to hypomethylating agents (HMAs) in patients
with myelodysplastic syndromes (MDS), analogous to consumer and commercial
recommender systems in which customers who bought products A and B are likely to 
buy C: patients who have a mutation in gene A and gene B are likely to respond or
not respond to HMAs.
METHODS: We screened a cohort of 433 patients with MDS who received HMAs for the 
presence of common myeloid mutations in 29 genes that were obtained before the
patients started therapy. The association between mutations and response was
evaluated by the Apriori market basket analysis algorithm. Rules with the highest
confidence (confidence that the association exists) and the highest lift
(strength of the association) were chosen. We validated our biomarkers in samples
from patients enrolled in the S1117 trial.
RESULTS: Among 433 patients, 193 (45%) received azacitidine, 176 (40%) received
decitabine, and 64 (15%) received HMA alone or in combination. The median age was
70 years (range, 31 to 100 years), and 28% were female. The median number of
mutations per sample was three (range, zero to nine), and 176 patients (41%) had 
three or more mutations per sample. Association rules identified several genomic 
combinations as being highly associated with no response. These molecular
signatures were present in 30% of patients with three or more mutations/sample
with an accuracy rate of 87% in the training cohort and 93% in the validation
cohort.
CONCLUSION: Genomic biomarkers can identify, with high accuracy, approximately
one third of patients with MDS who will not respond to HMAs. This study
highlights the importance of machine learning technologies such as the
recommender system algorithm in translating genomic data into useful clinical
tools.",Captcha,NaN
011620-200412,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,392,1000,31662255,Comparison of land use regression and random forests models on estimating noise levels in five Canadian cities.,"Chronic exposure to environment noise is associated with sleep disturbance and
cardiovascular diseases. Assessment of population exposed to environmental noise 
is limited by a lack of routine noise sampling and is critical for controlling
exposure and mitigating adverse health effects. Land use regression (LUR) model
is newly applied in estimating environmental exposures to noise. Machine-learning
approaches offer opportunities to improve the noise estimations from LUR model.
In this study, we employed random forests (RF) model to estimate environmental
noise levels in five Canadian cities and compared noise estimations between RF
and LUR models. A total of 729 measurements and 33 built environment-related
variables were used to estimate spatial variation in environmental noise at the
global (multi-city) and local (individual city) scales. Leave one out
cross-validation suggested that noise estimates derived from the RF global model 
explained a greater proportion of variation (R2: RF = 0.58, LUR = 0.47) with
lower root mean squared errors (RF = 4.44 dB(A), LUR = 4.99 dB(A)). The
cross-validation also indicated the RF models had better general performance than
the LUR models at the city scale. By applying the global models to estimate noise
levels at the postal code level, we found noise levels were higher in Montreal
and Longueuil than in other major Canadian cities.

Copyright © 2019 Elsevier Ltd. All rights reserved.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31662255.pdf
011620-200418,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,393,1000,31661680,Cardio-respiratory signal extraction from video camera data for continuous non-contact vital sign monitoring using deep learning.,"Non-contact vital sign monitoring enables the estimation of vital signs, such as 
heart rate, respiratory rate and oxygen saturation (SpO2), by measuring subtle
color changes on the skin surface using a video camera. For patients in a
hospital ward, the main challenges in the development of continuous and robust
non-contact monitoring techniques are the identification of time periods and the 
segmentation of skin regions of interest (ROIs) from which vital signs can be
estimated. We propose a deep learning framework to tackle these
challenges.APPROACH: This paper presents two convolutional neural network (CNN)
models. The first network was designed for detecting the presence of a patient
and segmenting the patient's skin area. The second network combined the output
from the first network with optical flow for identifying time periods of clinical
intervention so that these periods can be excluded from the estimation of vital
signs. Both networks were trained using video recordings from a clinical study
involving 15 pre-term infants conducted in the high dependency area of the
neonatal intensive care unit (NICU) of the John Radcliffe Hospital in Oxford, UK.
MAIN RESULTS: Our proposed methods achieved an accuracy of 98.8% for patient
detection, a mean intersection-over-union (IOU) score of 88.6% for skin
segmentation and an accuracy of 94.5% for clinical intervention detection using
two-fold cross validation. Our deep learning models produced accurate results and
were robust to different skin tones, changes in light conditions, pose variations
and different clinical interventions by medical staff and family visitors.
SIGNIFICANCE: Our approach allows cardio-respiratory signals to be continuously
derived from the patient's skin during which the patient is present and no
clinical intervention is undertaken.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31661680.pdf
011620-200420,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,394,1000,31661297,"Cardiac overexpression of perilipin 2 induces atrial steatosis, connexin 43 remodeling, and atrial fibrillation in aged mice.","Atrial fibrillation (AF) is prevalent in patients with obesity and diabetes, and 
such patients often exhibit cardiac steatosis. Since the role of cardiac
steatosis per se in the induction of AF has not been elucidated, the present
study was designed to explore the relation between cardiac steatosis and AF.
Transgenic (Tg) mice with cardiac-specific overexpression of perilipin 2 (PLIN2) 
were housed in the laboratory for more than 12 mo before the study. Electron
microscopy of the atria of PLIN2-Tg mice showed accumulation of small lipid
droplets around mitochondrial chains, and five- to ninefold greater atrial
triacylglycerol (TAG) content compared with wild-type (WT) mice.
Electrocardiography showed significantly longer RR intervals in PLIN2-Tg mice
than in WT mice. Transesophageal electrical burst pacing resulted in
significantly higher prevalence of sustained (>5 min) AF (69%) in PLIN2-Tg mice
than in WT mice (24%), although it was comparable in younger (4-mo-old) mice.
Connexin 43 (Cx43), a gap junction protein, was localized at the intercalated
disks in WT atria but was heterogeneously distributed on the lateral side of
cardiomyocytes in PLIN2-Tg atria. Langendorff-perfused hearts using the optical
mapping technique showed slower and heterogeneous impulse propagation in PLIN2-Tg
atria compared with WT atria. Cardiac overexpression of hormone-sensitive lipase 
in PLIN2-Tg mice resulted in atrial TAG depletion and amelioration of AF
susceptibility. The results suggest that PLIN2-induced steatosis is associated
with Cx43 remodeling, impaired conduction propagation, and higher incidence of AF
in aged mice. Therapies targeting cardiac steatosis could be potentially
beneficial against AF in patients with obesity or diabetes.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31661297.pdf
011620-200420,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,395,1000,31661082,Perception of the Progressing Digitization and Transformation of the German Health Care System Among Experts and the Public: Mixed Methods Study.,"BACKGROUND: Health care systems worldwide are struggling to keep rising costs at 
bay with only modest outcome improvement among many diseases. Digitization with
technologies like Artificial Intelligence or Machine Learning algorithms might
address this. Although digital technologies have been successfully applied in
clinical studies the effect on the overall health care system so far was limited.
The regulatory ecosystem or data privacy might be responsible, but other reasons 
may also predominate.
OBJECTIVE: We analyzed how the digitization of the German health care market is
currently perceived among different stakeholders and investigated reasons for its
slow adaption.
METHODS: This was a mixed methods study split into a qualitative Part A using the
conceptual approach of the Grounded Theory and a quantitative Part B using the
Delphi method. For Part A we interviewed experts in the health care system and
converted the results into 17 hypotheses. The Delphi method consisted of an
online survey which was sent to the participants via email and was available for 
three months. For the assessment of the 17 hypotheses, the participants were
given a six-point Likert scale. The participants were grouped into patients,
physicians, and providers of services within the German health care market.
RESULTS: There was a strong alignment of opinions on the hypotheses between
experts (N=21) and survey participants (N=733), with 70.5% overall agreement on
12/17 hypotheses. Physicians demonstrated the lowest level of agreement with the 
expert panel at 88% (15/17) disagreement, with the hypotheses ""H8: Digitization
in the health care system will free up jobs,"" and ""H6: Digitization in the health
care system will empower the patients,"" perceived to be in profound disagreement 
(P=.036 and P<.001, respectively).
CONCLUSIONS: Despite the firm agreement among participants and experts regarding 
the impact of digitization on the health care system, physicians demonstrated a
more negative attitude. We assume that this might be a factor contributing to the
slow adoption of digitization in practice. Physicians might be struggling with
changing power structures, so future measures to transform the market should
involve them to a larger degree.

©Arne Hansen, Maximilian Herrmann, Jan P Ehlers, Thomas Mondritzki, Kai Oliver
Hensel, Hubert Truebel, Philip Boehme. Originally published in JMIR Public Health
and Surveillance (http://publichealth.jmir.org), 28.10.2019.",Error: No result found on sci-hub.tw for 31661082,Nan
011620-200424,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,396,1000,31660653,"The group A Streptococcus accessory protein RocA: regulatory activity, interacting partners and influence on disease potential.","The group A Streptococcus (GAS) causes diseases that range from mild (e.g.
pharyngitis) to severely invasive (e.g. necrotizing fasciitis). Strain- and
serotype-specific differences influence the ability of isolates to cause
individual diseases. At the center of this variability is the CovR/S
two-component system and the accessory protein RocA. Through incompletely defined
mechanisms, CovR/S and RocA repress the expression of more than a dozen
immunomodulatory virulence factors. Alleviation of this repression is selected
for during invasive infections, leading to the recovery of covR, covS or rocA
mutant strains. Here, we investigated how RocA promotes CovR/S activity,
identifying that RocA is a pseudokinase that interacts with CovS. Disruption of
CovS kinase or phosphatase activities abolishes RocA function, consistent with
RocA acting through the modulation of CovS activity. We also identified, in
conflict with a previous study, that the RocA regulon includes the secreted
protease-encoding gene speB. Finally, we discovered an inverse correlation
between the virulence of wild-type, rocA mutant, covS mutant and covR mutant
strains during invasive infection and their fitness in an ex vivo upper
respiratory tract model. Our data inform on mechanisms that control GAS disease
potential and provide an explanation for observed strain- and serotype-specific
variability in RocA function.

© 2019 The Authors. Molecular Microbiology published by John Wiley & Sons Ltd.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31660653.pdf
011620-200425,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,397,1000,31659073,Association of High-Sensitivity Troponin with Cardiac CT Angiography Evidence of Myocardial and Coronary Disease in a Primary Prevention Cohort of Men: Results from MACS.,"BACKGROUND: High-sensitivity cardiac troponin (hs-cTn) elevations are associated 
with incident cardiovascular disease events in primary prevention samples.
However, the mechanisms underlying this association remain unclear.
METHODS: We studied 458 men without known cardiovascular disease who participated
in the cardiovascular disease substudy of the Multicenter AIDS Cohort Study and
had cardiac CT angiography. We used multivariable linear and logistic regression 
models to examine the cross-sectional associations between coronary artery
stenosis, coronary artery plaque, indexed left ventricular mass (LVMi), and the
outcome of hs-cTnI. We also evaluated the associations between HIV serostatus or 
use of highly active antiretroviral therapy (HAART) and hs-cTnI.
RESULTS: The mean age was 54 years, 54% were white, and 61% were HIV infected. In
multivariable-adjusted logistic models, comparing the highest quartile of LVMi
with the lowest quartile, the odds ratio (OR) of hs-cTnI ≥75th percentile was
2.59 (95% CI, 1.20-5.75). There was no significant association between coronary
stenosis severity or plaque type and hs-cTnI in linear models; however, in
logistic regression models, coronary artery stenosis ≥70% (8% of sample) was
marginally associated with a higher likelihood (OR, 2.75 [95% CI, 1.03, 7.27]) of
having hs-cTnI ≥75th percentile. There were no associations between HIV
serostatus or HAART use and hs-cTnI in either linear or logistic models.
CONCLUSION: Among primary prevention men with or at risk for HIV, hs-cTnI
concentrations were strongly associated with LVMi but were not associated with
HIV infection or treatment status or with coronary plaque type or stenosis until 
the extremes of severity (≥70% stenosis).

© 2019 American Association for Clinical Chemistry.",Captcha,NaN
011620-200426,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,398,1000,31658482,"[Hyperkalemia - Pathophysiology, prognostic significance and treatment options].","Hyperkalemia increases morbidity and mortalilty risk in both in- and outpatients.
Common causes are decreased renal excretion, excess intake or potassium shifting 
from the intra- to the extracellular space in combination with reduced renal
excretion or impairment of regulation. Hyperkalemia may alter the cellular
transmembrane potential and cause life-threatening arrhythmias. Heart failure
patients with comorbid renal insufficiency and/or diabetes mellitus are at
increased risk of developing hyperkalemia, which thus constitutes a common reason
for insufficient up-titration, down-titration or discontinuation of
prognostically relevant heart failure medications predisposing to hyperkalemia
(e. g. angiotensin-converting-enzyme inhibitors, angiotensin-receptor blockers
and mineralocorticoid receptor antagonists). New oral potassium binders may
enhance treatment opportunities in this respect.

Publisher: Hyperkaliämie erhöht bei stationären wie auch ambulanten Patienten das
Morbiditäts- und Mortalitätsrisiko. Verursacht wird diese häufige
Elektrolytstörung durch verminderte renale Kaliumelimination, vermehrte
Kaliumzufuhr oder Kaliumverschiebung vom Intra- in den Extrazellularraum, wenn
Ausscheidungs- oder Regulationsmechanismen zusätzlich beeinträchtigt sind.
Hyperkaliämie kann zur Störung des zellulären Membranpotenzials und in der Folge 
zu lebensbedrohlichen Herzrhythmusstörungen führen. Ein besonders hohes
Hyperkaliämie-Risiko haben herzinsuffiziente Patienten, die zudem an
Niereninsuffizienz und/oder Diabetes mellitus leiden. Folgen sind oft eine nicht 
ausreichende Dosierung, Dosisreduktion oder Absetzen prognostisch wichtiger
Herzinsuffizienzmedikamente, die eine Hyperkaliämie-Neigung verstärken (z. B.
Angiotensin-Konversionsenzym-Hemmer, Angiotensin-Rezeptorblocker und
Mineralokortikoidrezeptor-Antagonisten). Neue orale Kaliumbinder könnten die
Therapiemöglichkeiten entscheidend erweitern.
© Georg Thieme Verlag KG Stuttgart · New York.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31658482.pdf
011620-200427,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,399,1000,31657629,Toward Automated &lt;i&gt;In Vivo&lt;/i&gt; Bladder Tumor Stratification Using Confocal Laser Endomicroscopy.,"Purpose: Urothelial carcinoma of the bladder (UCB) is the most common urinary
cancer. White-light cystoscopy (WLC) forms the corner stone for the diagnosis of 
UCB. However, histopathological assessment is required for adjuvant treatment
selection. Probe-based confocal laser endomicroscopy (pCLE) enables visualization
of the microarchitecture of bladder lesions during WLC, which allows for
real-time tissue differentiation and grading of UCB. To improve the diagnostic
process of UCB, computer-aided classification of pCLE videos of in vivo bladder
lesions were evaluated in this study. Materials and Methods: We implemented
preprocessing methods to optimize contrast and to reduce striping artifacts in
each individual pCLE frame. Subsequently, a semiautomatic frame selection was
performed. The selected frames were used to train a feature extractor based on
pretrained ImageNet networks. A recurrent neural network, in specific long
short-term memory (LSTM), was used to predict the grade of bladder lesions.
Differentiation of lesions was performed at two levels, namely (i) healthy and
benign vs malignant tissue and (ii) low-grade vs high-grade papillary UCB. A
total of 53 patients with 72 lesions were included in this study, resulting in
∼140,000 pCLE frames. Results: The semiautomated frame selection reduced the
number of frames to ∼66,500 informative frames. The accuracy for differentiation 
of (i) healthy and benign vs malignant urothelium was 79% and (ii) high-grade and
low-grade papillary UCB was 82%. Conclusions: A feature extractor in combination 
with LSTM results in proper stratification of pCLE videos of in vivo bladder
lesions.",Captcha,NaN
011620-200428,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,400,1000,31656939,Disparities in Secondary Prevention of Atherosclerotic Heart Disease After Coronary Artery Bypass Grafting in Northern Plains American Indians.,"Introduction: Cardiovascular disease has become the leading cause of death in
American Indians (AIs). For patients with severe disease requiring coronary
artery bypass grafting (CABG), AIs have been demonstrated to present with
increased risk factors. Guideline-directed medical therapy after CABG effectively
reduces mortality and recurrent ischemic events in all patients and is especially
important in high-risk populations such as AIs. Methods: Isolated CABG patients
between 2012 and 2017 were studied and 74 AI patients were identified. Propensity
matching was performed and the resulting 148 patients were followed for a year
after surgery. Guideline-directed medical therapy (GDMT) for secondary prevention
of atherosclerotic disease after CABG was detailed in all patients. Results: GDMT
was similar between groups (85% AI vs. 89% non-AI; p=NS), and the incidence of
prescribed antiplatelet medications, beta-blockers, and statins was similar. AIs 
were more likely to receive insulin therapy (p=0.002) and opioids (p=0.03) at
discharge, while non-AIs were more likely to receive anti-arrhythmic medications 
(p=0.002). One year after discharge, GDMT trended lower in AIs (75% AI vs. 85%
non-AI; p=0.2) and AIs were less likely to be on a statin 1 year after surgery
(81% AI vs. 93% non-AI; p=0.04). Opioid use trended higher after 1 year in AIs
(28% AI vs. 18% non-AI; p=NS) and fewer AI patients participated in cardiac
rehabilitation (CR) after CABG. Conclusions: Disparities in GDMT for secondary
prevention of coronary artery disease after CABG exist, with fewer AI patients
receiving statins and undergoing CR 1 year after surgery. Increased use of
opioids in AIs is troubling and deserves further investigation. Improved
adherence to GDMT would be expected to improve long-term outcomes after CABG in
this high risk population.

© Hannah Kruger et al. 2019; Published by Mary Ann Liebert, Inc.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31656939.pdf
011620-200430,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,401,1000,31656534,WS PRO 160 I 120 mg (a combination of sabal and urtica extract) in patients with LUTS related to BPH.,"Introduction: Lower urinary tract symptoms (LUTS) caused by prostatic enlargement
are a common impairing condition in men aged 50 years and older. In the
management of LUTS related to benign prostatic hyperplasia (BPH), medication,
particularly by α-adrenoceptor antagonists, 5α-reductase inhibitors, and
phytopharmaceuticals, is considered the first-line therapy. Despite their
popularity, a number of adverse effects on the cardiovascular or cognitive
systems have been reported for some of the synthetic drugs. One of the promising 
herbal preparations for the treatment of patients suffering from LUTS related to 
BPH is WS PRO 160 I 120 mg, a combination of sabal fruit extract and urtica root 
extract.
Methods: This review of the literature summarizes clinical evidence for WS PRO
160 I 120 mg derived from four randomized placebo- or reference-controlled
double-blind clinical trials including men aged 50 years and older. In all
trials, symptomatic improvement was evaluated by the International Prostate
Symptom Score (I-PSS) total score.
Results: Treatment effects of WS PRO 160 I 120 mg were shown to be superior over 
placebo and comparable with the 5α-reductase inhibitor finasteride or the
α1-adrenoceptor antagonist tamsulosin with more favorable tolerability and safety
profiles as compared with the reference drugs.
Conclusions: The results suggest WS PRO 160 I 120 mg to be considered as a valid 
alternative in the treatment of patients with early BPH, especially with view to 
sexual function and a good quality of life, especially in long-term use.

© The Author(s), 2019.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31656534.pdf
