DateTime,Keyword,Title,URL,Abstract,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
011620-185811,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Transcriptional programming and T cell receptor repertoires distinguish human lung and lymph node memory T cells.,/pubmed/31925217,"Antigen-specific memory T cells persist for years after exposure to a pathogen
and provide effective recall responses. Many memory T cell subsets have been
identified and differ in abundance throughout tissues. This study focused on CD4 
and CD8 memory T cells from paired human lung and lung draining lymph node (LDLN)
samples and identified substantial differences in the transcriptional landscape
of these subsets, including higher expression of an array of innate immune
receptors in lung T cells which were further validated by flow cytometry. Using T
cell receptor analysis, we determined the clonal overlap between memory T cell
subsets within the lung and within the LDLN, and this was greater than the clonal
overlap observed between memory T cell subsets compared across tissues. Our
results suggest that lung and LDLN memory T cells originate from different
precursor pools, recognize distinct antigens and likely have separate roles in
immune responses.","Schoettler N, Hrusch CL, Blaine KM, Sperling AI, Ober C.",Communications biology. doi: 10.1038/s42003-019-0657-2. Journal Article.,Communications biology. 2019,PubMed,Journal Article,PMID:31925217,pubmed,31925217,create date: 2019/11/13 | first author: Schoettler N
011620-185814,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Generation of mesenchyme free intestinal organoids from human induced pluripotent stem cells.,/pubmed/31924806,"Efficient generation of human induced pluripotent stem cell (hiPSC)-derived human
intestinal organoids (HIOs) would facilitate the development of in vitro models
for a variety of diseases that affect the gastrointestinal tract, such as
inflammatory bowel disease or Cystic Fibrosis. Here, we report a directed
differentiation protocol for the generation of mesenchyme-free HIOs that can be
primed towards more colonic or proximal intestinal lineages in serum-free defined
conditions. Using a CDX2eGFP iPSC knock-in reporter line to track the emergence
of hindgut progenitors, we follow the kinetics of CDX2 expression throughout
directed differentiation, enabling the purification of intestinal progenitors and
robust generation of mesenchyme-free organoids expressing characteristic markers 
of small intestinal or colonic epithelium. We employ HIOs generated in this way
to measure CFTR function using cystic fibrosis patient-derived iPSC lines before 
and after correction of the CFTR mutation, demonstrating their future potential
for disease modeling and therapeutic screening applications.","Mithal A, Capilla A, Heinze D, Berical A, Villacorta-Martin C, Vedaie M, Jacob A, Abo K, Szymaniak A, Peasley M, Stuffer A, Mahoney J, Kotton DN, Hawkins F, Mostoslavsky G.",Nature communications. doi: 10.1038/s41467-019-13916-6. Journal Article.,Nature communications. 2020,PubMed,Journal Article,PMID:31924806,pubmed,31924806,create date: 2020/01/10 | first author: Mithal A
011620-185817,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Machine-learning facilitates selection of a novel diagnostic panel of metabolites for the detection of heart failure.,/pubmed/31924803,"The metabolic derangement is common in heart failure with reduced ejection
fraction (HFrEF). The aim of the study was to check feasibility of the combined
approach of untargeted metabolomics and machine learning to create a simple and
potentially clinically useful diagnostic panel for HFrEF. The study included 67
chronic HFrEF patients (left ventricular ejection fraction-LVEF 24.3 ± 5.9%) and 
39 controls without the disease. Fasting serum samples were fingerprinted by
liquid chromatography-mass spectrometry. Feature selection based on random-forest
models fitted to resampled data and followed by linear modelling, resulted in
selection of eight metabolites (uric acid, two isomers of LPC 18:2, LPC 20:1,
deoxycholic acid, docosahexaenoic acid and one unknown metabolite), demonstrating
their predictive value in HFrEF. The accuracy of a model based on metabolites
panel was comparable to BNP (0.85 vs 0.82), as verified on the test set. Selected
metabolites correlated with clinical, echocardiographic and functional
parameters. The combination of two innovative tools (metabolomics and
machine-learning methods), both unrestrained by the gaps in the current
knowledge, enables identification of a novel diagnostic panel. Its diagnostic
value seems to be comparable to BNP. Large scale, multi-center studies using
validated targeted methods are crucial to confirm clinical utility of proposed
markers.","Marcinkiewicz-Siemion M, Kaminski M, Ciborowski M, Ptaszynska-Kopczynska K, Szpakowicz A, Lisowska A, Jasiewicz M, Tarasiuk E, Kretowski A, Sobkowicz B, Kaminski KA.",Scientific reports. doi: 10.1038/s41598-019-56889-8. Journal Article.,Scientific reports. 2020,PubMed,Journal Article,PMID:31924803,pubmed,31924803,create date: 2020/01/10 | first author: Marcinkiewicz-Siemion M
011620-185819,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Contrast-Enhanced Ultrasound Quantification: From Kinetic Modeling to Machine Learning.,/pubmed/31924424,"Ultrasound contrast agents (UCAs) have opened up immense diagnostic possibilities
by combined use of indicator dilution principles and dynamic contrast-enhanced
ultrasound (DCE-US) imaging. UCAs are microbubbles encapsulated in a
biocompatible shell. With a rheology comparable to that of red blood cells, UCAs 
provide an intravascular indicator for functional imaging of the
(micro)vasculature by quantitative DCE-US. Several models of the UCA
intravascular kinetics have been proposed to provide functional quantitative
maps, aiding diagnosis of different pathological conditions. This article is a
comprehensive review of the available methods for quantitative DCE-US imaging
based on temporal, spatial and spatiotemporal analysis of the UCA kinetics. The
recent introduction of novel UCAs that are targeted to specific vascular
receptors has advanced DCE-US to a molecular imaging modality. In parallel, new
kinetic models of increased complexity have been developed. The extraction of
multiple quantitative maps, reflecting complementary variables of the underlying 
physiological processes, requires an integrative approach to their
interpretation. A probabilistic framework based on emerging machine-learning
methods represents nowadays the ultimate approach, improving the diagnostic
accuracy of DCE-US imaging by optimal combination of the extracted complementary 
information. The current value and future perspective of all these advances are
critically discussed.

Copyright © 2019 World Federation for Ultrasound in Medicine & Biology. Published
by Elsevier Inc. All rights reserved.","Turco S, Frinking P, Wildeboer R, Arditi M, Wijkstra H, Lindner JR, Mischi M.","Ultrasound in medicine &amp; biology. pii: S0301-5629(19)31590-X. doi: 10.1016/j.ultrasmedbio.2019.11.008. Journal Article, Review.",Ultrasound in medicine &amp; biology. 2020,PubMed,"Journal Article, Review",PMID:31924424,pubmed,31924424,create date: 2020/01/07 | first author: Turco S
011620-185821,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Early expressed circulating long noncoding RNA CHAST is associated with cardiac contractile function in patients with acute myocardial infarction.,/pubmed/31924400,"BACKGROUND: The mortality rate during the acute myocardial infarction (AMI) phase
has substantially decreased, but post-AMI cardiac remodeling remains an important
factor affecting patient prognosis. Several circulating long noncoding RNAs
(lncRNAs) are reportedly involved in the chronic pathological process of cardiac 
function and remodeling in cardiovascular diseases. However, the potential roles 
of these circulating lncRNAs as biomarkers of cardiac function and remodeling
during early-stage AMI remain unclear.
METHODS: Fifty-three patients with AMI and 90 controls without AMI were
consecutively enrolled in this study. Clinical parameters and blood samples at
different time points (i.e., 24 h and 3 days) were collected.
RESULTS: Compared with the controls, the circulating levels of cardiac
hypertrophy-associated transcript (CHAST) significantly increased in AMI
patients, and the CHAST levels obviously decreased at 3 days. In AMI patients,
the expression levels of CHAST at 24 h were positively associated with cardiac
contractile function and measured as left ventricular ejection fraction and left 
ventricular short-axis shortening rate (all P < 0.050). Multivariate regression
analysis indicated that the expression level of CHAST at 24 h was an independent 
predictor of cardiac contractile function (standardized β = 0.319, P =0.034).
When grouped according to the quartile values of the CHAST in the AMI population,
patients with the highest quartiles of CHAST expression level showed better
cardiac contractile function than all the other quartiles (all P < 0.050).
CONCLUSION: CHAST was an independent predictor of cardiac contractile function at
early-stage AMI and may serve as a candidate biomarker for cardiac remodeling.

Copyright © 2018. Published by Elsevier B.V.","Wang X, Wang L, Ma Z, Liang W, Li J, Li Y, Gui Y, Ai S.",International journal of cardiology. pii: S0167-5273(19)34848-X. doi: 10.1016/j.ijcard.2019.12.058. Journal Article.,International journal of cardiology. 2019,PubMed,Journal Article,PMID:31924400,pubmed,31924400,create date: 2019/12/30 | first author: Wang X
011620-185823,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",An unsupervised learning approach to identify novel signatures of health and disease from multimodal data.,/pubmed/31924279,"BACKGROUND: Modern medicine is rapidly moving towards a data-driven paradigm
based on comprehensive multimodal health assessments. Integrated analysis of data
from different modalities has the potential of uncovering novel biomarkers and
disease signatures.
METHODS: We collected 1385 data features from diverse modalities, including
metabolome, microbiome, genetics, and advanced imaging, from 1253 individuals and
from a longitudinal validation cohort of 1083 individuals. We utilized a
combination of unsupervised machine learning methods to identify multimodal
biomarker signatures of health and disease risk.
RESULTS: Our method identified a set of cardiometabolic biomarkers that goes
beyond standard clinical biomarkers. Stratification of individuals based on the
signatures of these biomarkers identified distinct subsets of individuals with
similar health statuses. Subset membership was a better predictor for diabetes
than established clinical biomarkers such as glucose, insulin resistance, and
body mass index. The novel biomarkers in the diabetes signature included
1-stearoyl-2-dihomo-linolenoyl-GPC and 1-(1-enyl-palmitoyl)-2-oleoyl-GPC. Another
metabolite, cinnamoylglycine, was identified as a potential biomarker for both
gut microbiome health and lean mass percentage. We identified potential early
signatures for hypertension and a poor metabolic health outcome. Additionally, we
found novel associations between a uremic toxin, p-cresol sulfate, and the
abundance of the microbiome genera Intestinimonas and an unclassified genus in
the Erysipelotrichaceae family.
CONCLUSIONS: Our methodology and results demonstrate the potential of multimodal 
data integration, from the identification of novel biomarker signatures to a
data-driven stratification of individuals into disease subtypes and stages-an
essential step towards personalized, preventative health risk assessment.","Shomorony I, Cirulli ET, Huang L, Napier LA, Heister RR, Hicks M, Cohen IV, Yu HC, Swisher CL, Schenker-Ahmed NM, Li W, Nelson KE, Brar P, Kahn AM, Spector TD, Caskey CT, Venter JC, Karow DS, Kirkness EF, Shah N.",Genome medicine. doi: 10.1186/s13073-019-0705-z. Journal Article.,Genome medicine. 2020,PubMed,Journal Article,PMID:31924279,pubmed,31924279,create date: 2020/01/10 | first author: Shomorony I
011620-185826,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Reaction phenotypes in IgE-mediated food allergy and anaphylaxis.,/pubmed/31923546,"OBJECTIVE: Food allergy encompasses a range of food hypersensitivities. Different
clinical phenotypes for food allergy are likely to exist, in much the same way as
endotype discovery is now a major research theme in asthma. We discuss the
emerging evidence for different reaction phenotypes i.e. symptoms experienced
following allergen exposure in food-allergic individuals, and their relevance for
clinical practice.
DATA SOURCES: Published and unpublished literature relating to reaction
phenotypes in food allergy. Study Selections Authors assessment of the available 
data.
RESULTS: Food anaphylaxis may have a different pathophysiology to anaphylaxis
caused by nonfood triggers. Currently, there are no robust, clinically useful
predictors of severity in food allergy. It is likely that patient-specific
reaction phenotypes exist in food allergy, which may impact upon risk of severe
anaphylaxis. Allergen immunotherapy may modulate these phenotypes.
CONCLUSION: Data are emerging to confirm our clinical experience that many
food-allergic patients experience stereotypical symptoms following allergen
exposure, both in the community and at supervised oral food challenge, in a
manner that varies from one patient to another. Integrating datasets from
different cohorts and applying unbiased machine-learning analyses may demonstrate
specific food allergy endotypes, in a similar way to asthma. Whether this results
in improvements in patient management (e.g. through facilitating risk
stratification or impacting on the decision to prescribe EAI and, perhaps, the
number of devices) remains to be determined - but given our current inability to 
predict patients most at risk of severe food-allergic reactions, this will
clearly be an important area of research in the future.

Copyright © 2020. Published by Elsevier Inc.","Chong KW, Ruiz-Garcia M, Patel N, Boyle RJ, Turner PJ.","Annals of allergy, asthma &amp; immunology : official publication of the American College of Allergy, Asthma, &amp; Immunology. pii: S1081-1206(19)31530-3. doi: 10.1016/j.anai.2019.12.023. Journal Article, Review.","Annals of allergy, asthma &amp; immunology : official publication of the American College of Allergy, Asthma, &amp; Immunology. 2020",PubMed,"Journal Article, Review",PMID:31923546,pubmed,31923546,create date: 2020/01/07 | first author: Chong KW
011620-185828,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Machine learning-based mortality prediction of patients undergoing cardiac resynchronization therapy: the SEMMELWEIS-CRT score.,/pubmed/31923316,"AIMS: Our aim was to develop a machine learning (ML)-based risk stratification
system to predict 1-, 2-, 3-, 4-, and 5-year all-cause mortality from pre-implant
parameters of patients undergoing cardiac resynchronization therapy (CRT).
METHODS AND RESULTS: Multiple ML models were trained on a retrospective database 
of 1510 patients undergoing CRT implantation to predict 1- to 5-year all-cause
mortality. Thirty-three pre-implant clinical features were selected to train the 
models. The best performing model [SEMMELWEIS-CRT score (perSonalizEd assessMent 
of estiMatEd risk of mortaLity With machinE learnIng in patientS undergoing CRT
implantation)], along with pre-existing scores (Seattle Heart Failure Model,
VALID-CRT, EAARN, ScREEN, and CRT-score), was tested on an independent cohort of 
158 patients. There were 805 (53%) deaths in the training cohort and 80 (51%)
deaths in the test cohort during the 5-year follow-up period. Among the trained
classifiers, random forest demonstrated the best performance. For the prediction 
of 1-, 2-, 3-, 4-, and 5-year mortality, the areas under the receiver operating
characteristic curves of the SEMMELWEIS-CRT score were 0.768 (95% CI:
0.674-0.861; P < 0.001), 0.793 (95% CI: 0.718-0.867; P < 0.001), 0.785 (95% CI:
0.711-0.859; P < 0.001), 0.776 (95% CI: 0.703-0.849; P < 0.001), and 0.803 (95%
CI: 0.733-0.872; P < 0.001), respectively. The discriminative ability of our
model was superior to other evaluated scores.
CONCLUSION: The SEMMELWEIS-CRT score (available at semmelweiscrtscore.com)
exhibited good discriminative capabilities for the prediction of all-cause death 
in CRT patients and outperformed the already existing risk scores. By capturing
the non-linear association of predictors, the utilization of ML approaches may
facilitate optimal candidate selection and prognostication of patients undergoing
CRT implantation.

© The Author(s) 2020. Published by Oxford University Press on behalf of the
European Society of Cardiology.","Tokodi M, Schwertner WR, Kovács A, Tősér Z, Staub L, Sárkány A, Lakatos BK, Behon A, Boros AM, Perge P, Kutyifa V, Széplaki G, Gellér L, Merkely B, Kosztin A.",European heart journal. pii: ehz902. doi: 10.1093/eurheartj/ehz902. Journal Article.,European heart journal. 2020,PubMed,Journal Article,PMID:31923316,pubmed,31923316,create date: 2020/01/10 | first author: Tokodi M
011620-185830,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Single-modal and multi-modal false arrhythmia alarm reduction using attention-based convolutional and recurrent neural networks.,/pubmed/31923226,"This study proposes a deep learning model that effectively suppresses the false
alarms in the intensive care units (ICUs) without ignoring the true alarms using 
single- and multi- modal biosignals. Most of the current work in the literature
are either rule-based methods, requiring prior knowledge of arrhythmia analysis
to build rules, or classical machine learning approaches, depending on
hand-engineered features. In this work, we apply convolutional neural networks to
automatically extract time-invariant features, an attention mechanism to put more
emphasis on the important regions of the segmented input signal(s) that are more 
likely to contribute to an alarm, and long short-term memory units to capture the
temporal information presented in the signal segments. We trained our method
efficiently using a two-step training algorithm (i.e., pre-training and
fine-tuning the proposed network) on the dataset provided by the PhysioNet
computing in cardiology challenge 2015. The evaluation results demonstrate that
the proposed method obtains better results compared to other existing algorithms 
for the false alarm reduction task in ICUs. The proposed method achieves a
sensitivity of 93.88% and a specificity of 92.05% for the alarm classification,
considering three different signals. In addition, our experiments for 5 separate 
alarm types leads significant results, where we just consider a single-lead ECG
(e.g., a sensitivity of 90.71%, a specificity of 88.30%, an AUC of 89.51 for
alarm type of Ventricular Tachycardia arrhythmia).","Mousavi S, Fotoohinasab A, Afghah F.",PloS one. doi: 10.1371/journal.pone.0226990. Journal Article.,PloS one. 2020,PubMed,Journal Article,PMID:31923226,pubmed,31923226,create date: 2020/01/10 | first author: Mousavi S
011620-185834,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Status of glycosylated hemoglobin and prediction of glycemic control among patients with insulin-treated type 2 diabetes in North China: a multicenter observational study.,/pubmed/31923100,"BACKGROUND: Blood glucose control is closely related to type 2 diabetes mellitus 
(T2DM) prognosis. This multicenter study aimed to investigate blood glucose
control among patients with insulin-treated T2DM in North China and explore the
application value of combining an elastic network (EN) with a machine-learning
algorithm to predict glycemic control.
METHODS: Basic information, biochemical indices, and diabetes-related data were
collected via questionnaire from 2787 consecutive participants recruited from 27 
centers in six cities between January 2016 and December 2017. An EN regression
was used to address variable collinearity. Then, three common machine learning
algorithms (random forest [RF], support vector machine [SVM], and back
propagation artificial neural network [BP-ANN]) were used to simulate and predict
blood glucose status. Additionally, a stepwise logistic regression was performed 
to compare the machine learning models.
RESULTS: The well-controlled blood glucose rate was 45.82% in North China. The
multivariable analysis found that hypertension history, atherosclerotic
cardiovascular disease history, exercise, and total cholesterol were protective
factors in glycosylated hemoglobin (HbA1c) control, while central adiposity,
family history, T2DM duration, complications, insulin dose, blood pressure, and
hypertension were risk factors for elevated HbA1c. Before the dimensional
reduction in the EN, the areas under the curve of RF, SVM, and BP were 0.73,
0.61, and 0.70, respectively, while these figures increased to 0.75, 0.72, and
0.72, respectively, after dimensional reduction. Moreover, the EN and machine
learning models had higher sensitivity and accuracy than the logistic regression 
models (the sensitivity and accuracy of logistic were 0.52 and 0.56; RF: 0.79,
0.70; SVM: 0.84, 0.73; BP-ANN: 0.78, 0.73, respectively).
CONCLUSIONS: More than half of T2DM patients in North China had poor glycemic
control and were at a higher risk of developing diabetic complications. The EN
and machine learning algorithms are alternative choices, in addition to the
traditional logistic model, for building predictive models of blood glucose
control in patients with T2DM.","Wang J, Wang MY, Wang H, Liu HW, Lu R, Duan TQ, Li CP, Cui Z, Liu YY, Lyu YJ, Ma J.",Chinese medical journal. doi: 10.1097/CM9.0000000000000585. Journal Article.,Chinese medical journal. 2020,PubMed,Journal Article,PMID:31923100,pubmed,31923100,create date: 2020/01/05 | first author: Wang J
011620-185836,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Comparison of Machine Learning Methods With Traditional Models for Use of Administrative Claims With Electronic Medical Records to Predict Heart Failure Outcomes.,/pubmed/31922560,"Importance: Accurate risk stratification of patients with heart failure (HF) is
critical to deploy targeted interventions aimed at improving patients' quality of
life and outcomes.
Objectives: To compare machine learning approaches with traditional logistic
regression in predicting key outcomes in patients with HF and evaluate the added 
value of augmenting claims-based predictive models with electronic medical record
(EMR)-derived information.
Design, Setting, and Participants: A prognostic study with a 1-year follow-up
period was conducted including 9502 Medicare-enrolled patients with HF from 2
health care provider networks in Boston, Massachusetts (""providers"" includes
physicians, clinicians, other health care professionals, and their institutions
that comprise the networks). The study was performed from January 1, 2007, to
December 31, 2014; data were analyzed from January 1 to December 31, 2018.
Main Outcomes and Measures: All-cause mortality, HF hospitalization, top cost
decile, and home days loss greater than 25% were modeled using logistic
regression, least absolute shrinkage and selection operation regression,
classification and regression trees, random forests, and gradient-boosted
modeling (GBM). All models were trained using data from network 1 and tested in
network 2. After selecting the most efficient modeling approach based on
discrimination, Brier score, and calibration, area under precision-recall curves 
(AUPRCs) and net benefit estimates from decision curves were calculated to focus 
on the differences when using claims-only vs claims + EMR predictors.
Results: A total of 9502 patients with HF with a mean (SD) age of 78 (8) years
were included: 6113 from network 1 (training set) and 3389 from network 2
(testing set). Gradient-boosted modeling consistently provided the highest
discrimination, lowest Brier scores, and good calibration across all 4 outcomes; 
however, logistic regression had generally similar performance (C statistics for 
logistic regression based on claims-only predictors: mortality, 0.724; 95% CI,
0.705-0.744; HF hospitalization, 0.707; 95% CI, 0.676-0.737; high cost, 0.734;
95% CI, 0.703-0.764; and home days loss claims only, 0.781; 95% CI, 0.764-0.798; 
C statistics for GBM: mortality, 0.727; 95% CI, 0.708-0.747; HF hospitalization, 
0.745; 95% CI, 0.718-0.772; high cost, 0.733; 95% CI, 0.703-0.763; and home days 
loss, 0.790; 95% CI, 0.773-0.807). Higher AUPRCs were obtained for claims + EMR
vs claims-only GBMs predicting mortality (0.484 vs 0.423), HF hospitalization
(0.413 vs 0.403), and home time loss (0.575 vs 0.521) but not cost (0.249 vs
0.252). The net benefit for claims + EMR vs claims-only GBMs was higher at
various threshold probabilities for mortality and home time loss outcomes but
similar for the other 2 outcomes.
Conclusions and Relevance: Machine learning methods offered only limited
improvement over traditional logistic regression in predicting key HF outcomes.
Inclusion of additional predictors from EMRs to claims-based models appeared to
improve prediction for some, but not all, outcomes.","Desai RJ, Wang SV, Vaduganathan M, Evers T, Schneeweiss S.",JAMA network open. doi: 10.1001/jamanetworkopen.2019.18962. Journal Article.,JAMA network open. 2020,PubMed,Journal Article,PMID:31922560,pubmed,31922560,create date: 2020/01/03 | first author: Desai RJ
011620-185839,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Temporal association of neuropsychological test performance using unsupervised learning reveals a distinct signature of Alzheimer's disease status.,/pubmed/31921970,"Introduction: Subtle cognitive alterations that precede clinical evidence of
cognitive impairment may help predict the progression to Alzheimer's disease
(AD). Neuropsychological (NP) testing is an attractive modality for screening
early evidence of AD.
Methods: Longitudinal NP and demographic data from the Framingham Heart Study
(FHS; N = 1696) and the National Alzheimer's Coordinating Center (NACC; N = 689) 
were analyzed using an unsupervised machine learning framework. Features,
including age, logical memory-immediate and delayed recall, visual
reproduction-immediate and delayed recall, the Boston naming tests, and Trails B,
were identified using feature selection, and processed further to predict the
risk of development of AD.
Results: Our model yielded 83.07 ± 3.52% accuracy in FHS and 87.57 ± 1.19%
accuracy in NACC, 80.52 ± 3.93%, 86.74 ± 1.63% sensitivity in FHS and NACC
respectively, and 85.63 ± 4.71%, 88.41 ± 1.38% specificity in FHS and NACC,
respectively.
Discussion: Our results suggest that a subset of NP tests, when analyzed using
unsupervised machine learning, may help distinguish between high- and low-risk
individuals in the context of subsequent development of AD within 5 years. This
approach could be a viable option for early AD screening in clinical practice and
clinical trials.

© 2019 The Authors.","Joshi PS, Heydari M, Kannan S, Alvin Ang TF, Qin Q, Liu X, Mez J, Devine S, Au R, Kolachalama VB.","Alzheimer's &amp; dementia (New York, N. Y.). doi: 10.1016/j.trci.2019.11.006. Journal Article.","Alzheimer's &amp; dementia (New York, N. Y.). 2019",PubMed,Journal Article,PMID:31921970,pubmed,31921970,create date: 2019/12/28 | first author: Joshi PS
011620-185841,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Extreme Consumers of Health Care: Patterns of Care Utilization in Patients with Multiple Chronic Conditions Admitted to a Novel Integrated Clinic.,/pubmed/31920324,"Purpose: Patients with multiple chronic conditions (MCC) of diabetes,
cardiovascular and kidney diseases; hereafter referred to as HND (heart/cardiac-,
nephrology-, diabetes mellitus-) patients, are high utilizers of health care.
However, the care received is often insufficiently coordinated between different 
specialties and health-care providers. This study aims to describe the
characteristics of HND patients and to explore the initial effects of a
multidisciplinary and person-centered care on total care utilization.
Patients and Methods: We conducted a sub-study of HND patients recruited in an
ongoing randomized trial CareHND (NCT03362983). Descriptive statistics of patient
characteristics, including diagnostic data and Charlson Comorbidity Index scores,
informed a comparison of care utilization patterns between HND patient care and
traditional care. Diagnostic and care utilization data were collected from a
regional database. Wilcoxon signed ranked sum tests were performed to compare
care utilization frequencies between the two groups.
Results: Patients included in the study were care-intensive with several
diagnoses and experienced a high level of variation in care utilization and
diagnoses profiles. HND patients were sicker than their counterparts in the
control group. Utilization indicators were similar between the two arms. There
was some indication that the HND center is beginning to perform as expected, but 
no results were statistically significant.
Conclusion: This study sits among many studies reporting difficulties obtaining
statistically significant findings for MCC patients. However, previous research
has shown that the key components of this intervention, such as integrated,
multidisciplinary, inter-professional collaboration within patient-centered care 
have had a positive effect on health-care outcomes. More innovative methods
beyond the RCT, such as machine learning should be explored to evaluate the
impact of integrated care interventions on care utilization.

© 2019 Rafiq et al.","Rafiq M, Keel G, Mazzocato P, Spaak J, Guttmann C, Lindgren P, Savage C.",Journal of multidisciplinary healthcare. doi: 10.2147/JMDH.S214770. Journal Article.,Journal of multidisciplinary healthcare. 2019,PubMed,Journal Article,PMID:31920324,pubmed,31920324,create date: 2019/12/24 | first author: Rafiq M
011620-185843,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Improving Long-QT syndrome Diagnosis by a Polynomial-Based T-wave Morphology Characterization.,/pubmed/31917370,"BACKGROUND: Diagnosing long-QT syndrome (LQTS) remains challenging due to a
considerable overlap in QT-interval between LQTS and healthy subjects.
Characterizing T-wave morphology might improve LQTS diagnosis.
OBJECTIVE: To improve LQTS diagnosis by combining new polynomial-based T-wave
morphology parameters with the corrected QT-interval (QTc), age and sex in a
model.
METHODS: A retrospective cohort consisting of 333 LQTS patients and 345
genotype-negative family members was used in this study. For each patient, a
linear combination of the first 2 Hermite-Gauss (HG) polynomials was fitted to
the STT-segments of an average complex of all precordial leads and limb leads I
and II. The weight coefficients as well as the error of the best fit were used to
characterize T-wave morphology. Subjects were classified as LQTS or controls by
clinical QTc cut-offs and three support-vector-machine (SVM) models fed with
different features. An external cohort consisting of 72 patients and 45 controls 
was finally used to check the robustness of the models.
RESULTS: Baseline QTc cut-offs were specific but had low sensitivity in
diagnosing LQTS. The model with T-wave morphology features, QTc, age and sex had 
the best overall accuracy (84%) followed by a model with QTc, age and sex (79%). 
The Extended model especially performed better in LQT-3 patients (69%).
CONCLUSION: T-wave morphologies can be characterized by fitting a linear
combination of the first 2 HG-polynomials. Adding T-wave morphology
characterizations to age, gender and QTc in an SVM-model improves LQTS diagnosis.

Copyright © 2020. Published by Elsevier Inc.","Hermans BJM, Bennis FC, Vink AS, Koopsen T, Lyon A, Wilde AAM, Nuyens D, Robyns T, Pison L, Postema PG, Delhaas T.",Heart rhythm. pii: S1547-5271(20)30001-1. doi: 10.1016/j.hrthm.2019.12.020. Journal Article.,Heart rhythm. 2020,PubMed,Journal Article,PMID:31917370,pubmed,31917370,create date: 2020/01/06 | first author: Hermans BJM
